Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
08/01/2023;Casa*da*Beleza - 2/2;R$ 25,15;MODA;Nubank;Crédito;Fixa;Mallu;janeiro;2023;domingo;Final de Semana;Dentro da Média
08/01/2023;Ebw *Shein - 4/5;R$ 36,74;MODA;Nubank;Crédito;Fixa;Willian/Mallu;janeiro;2023;domingo;Final de Semana;Acima da Média
10/01/2023;panela 1/3;R$ 25,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
10/01/2023;Rovick Festas - 1/2;R$ 49,71;DECORAÇÃO;Nubank;Crédito;Fixa;Mallu;janeiro;2023;terça-feira;Dias Úteis;Acima da Média
10/01/2023;Uber *Uber *Trip;R$ 14,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
11/01/2023;fogao 1/8;R$ 100,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;janeiro;2023;quarta-feira;Dias Úteis;Acima da Média
12/01/2023;roupa 3/5;R$ 59,00;MODA;Bradesco;A vista;Fixa;Willian;janeiro;2023;quinta-feira;Dias Úteis;Acima da Média
13/01/2023;emprestimo bnb;R$ 257,91;EMPRESTIMO;Bradesco;A vista;Fixa;Willian;janeiro;2023;sexta-feira;Final de Semana;Acima da Média
14/01/2023;celular 9/10;R$ 163,45;COMPRAS;Bradesco;A vista;Fixa;Willian;janeiro;2023;sábado;Final de Semana;Acima da Média
15/01/2023;Ppro *Adobe;R$ 124,00;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;janeiro;2023;domingo;Final de Semana;Acima da Média
15/01/2023;spotify;R$ 5,80;ASSINATURAS;Bradesco;A vista;Fixa;Willian;janeiro;2023;domingo;Final de Semana;Dentro da Média
15/01/2023;Pg *Ton Marcia Marga;R$ 9,17;DECORAÇÃO;Nubank;Crédito;Variável;Willian;janeiro;2023;domingo;Final de Semana;Dentro da Média
15/01/2023;Pg *Ton Marcia Marga;R$ 28,60;DECORAÇÃO;Nubank;Crédito;Variável;Willian;janeiro;2023;domingo;Final de Semana;Acima da Média
16/01/2023;internet;R$ 100,00;INTERNET;Bradesco;A vista;Fixa;Mãe;janeiro;2023;segunda-feira;Dias Úteis;Acima da Média
17/01/2023;academia;R$ 85,00;ACADEMIA;Bradesco;A vista;Fixa;Willian;janeiro;2023;terça-feira;Dias Úteis;Acima da Média
17/01/2023;Uber *Uber *Trip;R$ 14,91;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
18/01/2023;tim;R$ 51,99;TELEFONE;Bradesco;A vista;Fixa;Willian;janeiro;2023;quarta-feira;Dias Úteis;Acima da Média
18/01/2023;Uber *Uber *Trip;R$ 23,87;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;quarta-feira;Dias Úteis;Dentro da Média
19/01/2023;Uber *Uber *Trip;R$ 12,96;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;quinta-feira;Dias Úteis;Dentro da Média
21/01/2023;Uber *Uber *Trip;R$ 16,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;sábado;Final de Semana;Dentro da Média
21/01/2023;Uber *Uber *Trip;R$ 10,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;sábado;Final de Semana;Dentro da Média
22/01/2023;Uber *Uber *Trip;R$ 7,92;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;domingo;Final de Semana;Dentro da Média
24/01/2023;Uber *Uber *Trip;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
24/01/2023;Uber *Uber *Trip;R$ 13,92;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
24/01/2023;Uber *Uber *Trip;R$ 10,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
25/01/2023;Ec*Nivel6;R$ 14,99;ASSINATURAS;Nubank;Crédito;Fixa;Willian;janeiro;2023;quarta-feira;Dias Úteis;Dentro da Média
28/01/2023;Uber *Uber *Trip;R$ 4,84;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;sábado;Final de Semana;Dentro da Média
28/01/2023;Uber *Uber *Trip;R$ 7,86;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;sábado;Final de Semana;Dentro da Média
29/01/2023;Uber *Uber *Trip;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;domingo;Final de Semana;Dentro da Média
29/01/2023;Uber *Uber *Trip;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;domingo;Final de Semana;Dentro da Média
31/01/2023;Ifood *Ifd*Drogaria;R$ 64,44;ALIMENTACAO;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Acima da Média
31/01/2023;Ebw*Spotify;R$ 9,90;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
31/01/2023;Uber *Uber *Trip;R$ 14,90;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
31/01/2023;Uber *Uber *Trip;R$ 12,91;TRANSPORTE;Nubank;Crédito;Variável;Willian;janeiro;2023;terça-feira;Dias Úteis;Dentro da Média
01/02/2023;Uber *Uber *Trip;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;quarta-feira;Dias Úteis;Dentro da Média
01/02/2023;Uber *Uber *Trip;R$ 13,94;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;quarta-feira;Dias Úteis;Dentro da Média
